DIALOGUE ID,START TIME,END TIME
"652","02:00:19","02:00:23"
"653","02:00:19","02:00:23"
"654","02:00:19","02:00:23"
"655","02:00:19","02:00:23"
"656","02:00:19","02:00:23"
"657","02:00:19","02:00:23"
"658","02:00:19","02:00:23"
"659","02:00:19","02:00:23"
"660","02:00:19","02:00:23"
"661","02:00:19","02:00:23"
"662","02:00:19","02:00:23"
"663","02:00:19","02:00:23"
"664","02:00:19","02:00:23"
"665","02:00:19","02:00:23"
"666","02:00:19","02:00:23"
"667","02:00:19","02:00:23"
"668","02:00:19","02:00:23"
"669","02:00:19","02:00:23"
"670","02:00:19","02:00:23"
"671","02:00:19","02:00:23"
"672","02:00:19","02:00:23"
"673","02:00:19","02:00:23"
"674","02:00:19","02:00:23"
"675","02:00:19","02:00:23"
"676","02:00:19","02:00:23"
"677","02:00:19","02:00:23"
"678","02:00:19","02:00:23"
"679","02:00:19","02:00:23"
"680","02:00:19","02:00:23"
"681","02:00:19","02:00:23"
"682","02:00:19","02:00:23"
"683","02:00:19","02:00:23"
"684","02:00:19","02:00:23"
"685","02:00:19","02:00:23"
"686","02:00:19","02:00:23"
"687","02:00:19","02:00:23"
"688","02:00:19","02:00:23"
"689","02:00:19","02:00:23"
"690","02:00:19","02:00:23"
"691","02:00:19","02:00:23"
"692","02:00:19","02:00:23"
"693","02:00:19","02:00:23"
"694","02:00:19","02:00:23"
"695","02:00:19","02:00:23"
"696","02:00:19","02:00:23"
"697","02:00:19","02:00:23"
"698","02:00:19","02:00:23"
"699","02:00:19","02:00:23"
"700","02:00:19","02:00:23"
"701","02:00:19","02:00:23"
"702","02:00:19","02:00:23"
"703","02:00:19","02:00:23"
"704","02:00:19","02:00:23"
"705","02:00:19","02:00:23"
"706","02:00:19","02:00:23"
"707","02:00:19","02:00:23"
"708","02:00:19","02:00:23"
"709","02:00:19","02:00:23"
"710","02:00:19","02:00:23"
"711","02:00:19","02:00:23"
"712","02:00:19","02:00:23"
"713","02:00:19","02:00:23"
"714","02:00:19","02:00:23"
"715","02:00:19","02:00:23"
"716","02:00:19","02:00:23"
"717","02:00:19","02:00:23"
"718","02:00:19","02:00:23"
"719","02:00:19","02:00:23"
"720","02:00:19","02:00:23"
"721","02:00:19","02:00:23"
"722","02:00:19","02:00:23"
"723","02:00:19","02:00:23"
"724","02:00:19","02:00:23"
"725","02:00:19","02:00:23"
"726","02:00:19","02:00:23"
"727","02:00:19","02:00:23"
"728","02:00:19","02:00:23"
"729","02:00:19","02:00:23"
"730","02:00:19","02:00:23"
"731","02:00:19","02:00:23"
"732","02:00:19","02:00:23"
"733","02:00:19","02:00:23"
"734","02:00:19","02:00:23"
"735","02:00:19","02:00:23"
"736","02:00:19","02:00:23"
"737","02:00:19","02:00:23"
"738","02:00:19","02:00:23"
"739","02:00:19","02:00:23"
"740","02:00:19","02:00:23"
"741","02:00:19","02:00:23"
"742","02:00:19","02:00:23"
"743","02:00:19","02:00:23"
"744","02:00:19","02:00:23"
"745","02:00:19","02:00:23"
"746","02:00:19","02:00:23"
"747","02:00:19","02:00:23"
"748","02:00:19","02:00:23"
"749","02:00:19","02:00:23"
"750","02:00:19","02:00:23"
"751","02:00:19","02:00:23"
"752","02:00:19","02:00:23"
"753","02:00:19","02:00:23"
"754","02:00:19","02:00:23"
"755","02:00:19","02:00:23"
"756","02:00:19","02:00:23"
"757","02:00:19","02:00:23"
"758","02:00:19","02:00:23"
"759","02:00:19","02:00:23"
"760","02:00:19","02:00:23"
"761","02:00:19","02:00:23"
"762","02:00:19","02:00:23"
"763","02:00:19","02:00:23"
"764","02:00:19","02:00:23"
"765","02:00:19","02:00:23"
"766","02:00:19","02:00:23"
"767","02:00:19","02:00:23"
"768","02:00:19","02:00:23"
"769","02:00:19","02:00:23"
"770","02:00:19","02:00:23"
"771","02:00:19","02:00:23"
"772","02:00:19","02:00:23"
"773","02:00:19","02:00:23"
"774","02:00:19","02:00:23"
"775","02:00:19","02:00:23"
"776","02:00:19","02:00:23"
"777","02:00:19","02:00:23"
"778","02:00:19","02:00:23"
"779","02:00:19","02:00:23"
"780","02:00:19","02:00:23"
"781","02:00:19","02:00:23"
"782","02:00:19","02:00:23"
"783","02:00:19","02:00:23"
"784","02:00:19","02:00:23"
"785","02:00:19","02:00:23"
"786","02:00:19","02:00:23"
"787","02:00:19","02:00:23"
"788","02:00:19","02:00:23"
"789","02:00:19","02:00:23"
"790","02:00:19","02:00:23"
"791","02:00:19","02:00:23"
"792","02:00:19","02:00:23"
"793","02:00:19","02:00:23"
"794","02:00:19","02:00:23"
"795","02:00:19","02:00:23"
"796","02:00:19","02:00:23"
"797","02:00:19","02:00:23"
"798","02:00:19","02:00:23"
"799","02:00:19","02:00:23"
"800","02:00:19","02:00:23"
"801","02:00:19","02:00:23"
"802","02:00:19","02:00:23"
"803","02:00:19","02:00:23"
"804","02:00:19","02:00:23"
"805","02:00:19","02:00:23"
"806","02:00:19","02:00:23"
"807","02:00:19","02:00:23"
"808","02:00:19","02:00:23"
"809","02:00:19","02:00:23"
"810","02:00:19","02:00:23"
"811","02:00:19","02:00:23"
"812","02:00:19","02:00:23"
"813","02:00:19","02:00:23"
"814","02:00:19","02:00:23"
"815","02:00:19","02:00:23"
"816","02:00:19","02:00:23"
"817","02:00:19","02:00:23"
"818","02:00:19","02:00:23"
"819","02:00:19","02:00:23"
"820","02:00:19","02:00:23"
"821","02:00:19","02:00:23"
"822","02:00:19","02:00:23"
"823","02:00:19","02:00:23"
"824","02:00:19","02:00:23"
"825","02:00:19","02:00:23"
"826","02:00:19","02:00:23"
"827","02:00:19","02:00:23"
"828","02:00:19","02:00:23"
"829","02:00:19","02:00:23"
"830","02:00:19","02:00:23"
"831","02:00:19","02:00:23"
"832","02:00:19","02:00:23"
"833","02:00:19","02:00:25"
"834","02:00:23","02:00:29"
"835","02:00:25","02:00:31"
"836","02:00:29","02:00:31"
